,0
646,-99.58832098961321
647,-102.36124896560813
648,-103.06973683134365
649,-100.56665145564384
650,-101.67446231182805
651,-102.78126861604906
652,-101.67740160201598
653,-102.17854852934488
654,-100.35504606755606
655,-103.46572302845567
656,-99.6745113700122
657,-101.80817337428351
658,-100.9277278272121
659,-99.63233445904143
660,-103.90279247603362
661,-100.39059263795349
662,-101.80145491313166
663,-102.47312565076592
664,-100.80977100550933
665,-101.84968887415471
666,-102.08509987209311
667,-101.68756573125239
668,-101.29733762965208
669,-100.73279358074916
670,-104.3775927378874
671,-101.98778675275432
672,-102.91966586362895
673,-102.10157080306459
674,-100.90039336748839
675,-101.84496477680815
676,-103.65744756047789
677,-104.07767848971403
678,-104.82816999399924
679,-100.49192704753028
680,-101.20822861525369
681,-99.76378037821084
682,-106.12835598721682
683,-102.56181834981487
684,-102.93852398997635
685,-101.62157109710216
686,-100.6602634564349
687,-101.4145944563721
688,-100.91462501271204
689,-102.0940877644916
690,-103.60826581314001
691,-103.7194278033711
692,-100.90125097540277
693,-100.23598925333482
694,-103.03767750087479
695,-101.55690171362392
696,-100.26677394813845
697,-102.43266939780028
698,-99.70302490483655
699,-99.52871264660598
700,-97.77767990043698
701,-100.43556777274486
702,-101.84665031149953
703,-100.12443876630039
704,-99.19971064457175
705,-101.90921434629752
706,-104.3445868209287
707,-97.74459423458256
708,-100.5674179897992
709,-104.32505448416265
710,-102.57764416378532
711,-103.70982070927906
712,-104.41261737089917
713,-100.50971006141049
714,-103.12958829195168
715,-100.7613229395254
716,-104.79168798767034
717,-105.11824263779326
718,-100.10859881505394
719,-103.58088484412289
720,-98.85298785149804
721,-102.40898845612372
722,-101.86018939380833
723,-102.40984462541684
724,-103.24804416406795
725,-104.02471483762395
726,-101.95787842893762
727,-99.26728152929047
728,-104.46394716029619
729,-99.08406792003305
730,-103.46230018119499
731,-99.7849225524916
732,-104.3390646030058
733,-102.5786223395755
734,-101.02890030495595
735,-103.98262832615507
736,-100.25582998564107
737,-100.48973176950457
738,-101.11029652307357
739,-101.54178391282528
740,-100.5092403279229
741,-104.53565776376058
742,-101.66695826407306
743,-105.01535177086043
744,-100.71684479676071
745,-101.79813376695878
746,-103.5090740487891
747,-106.19618413283635
748,-101.71057149992194
749,-101.80489952403838
750,-104.82619022621759
751,-101.62845615557373
752,-101.66711060983053
753,-105.0400221332747
754,-101.92947988988894
755,-99.83005660088514
756,-104.83857417222788
757,-101.95072195175672
758,-101.28525173231051
759,-104.31845749903962
760,-98.03396751013308
761,-104.94040792465415
762,-99.4386675787191
763,-99.29137849112806
764,-104.85133371728153
765,-101.84181760141286
766,-100.25100974336053
767,-105.82831840116802
768,-101.1578298219805
769,-104.83672387936502
770,-101.75600598825622
771,-101.32078980519995
772,-102.28537538968325
773,-104.42639882613673
774,-105.74074226070553
775,-102.88990088283384
776,-101.32261494074027
777,-103.96948102947937
778,-104.59405341404249
779,-102.14301083269595
780,-102.97444630398084
781,-104.03763026873281
782,-102.83100929017598
783,-102.65778577460154
784,-101.38310162315784
785,-102.41381453231952
786,-100.65809058919342
787,-99.7724226202377
788,-100.74717117709187
789,-101.69420408017228
790,-101.20496182446016
791,-102.92304996801033
792,-101.39187409705215
793,-101.96639911790416
794,-100.92632521533676
795,-99.45620655053565
796,-103.00294199004784
797,-100.54304745407882
798,-101.78367886309849
799,-102.38301550967034
800,-102.7698665767823
801,-101.546087908012
802,-100.86235771770393
803,-104.23699923507317
804,-102.62715952113209
805,-100.68652664546252
806,-103.29707225593933
807,-102.11456054542435
808,-101.5698717660731
809,-99.54895806765998
810,-100.53098710601898
811,-99.63268489326452
812,-102.89784096900132
813,-103.17602829654285
814,-101.64509250877427
815,-98.98002952459247
816,-100.1809498287588
817,-104.89441034529256
818,-104.22839294842274
819,-101.46759821666004
820,-99.96026252719645
821,-101.68127962625255
822,-101.63465584810248
823,-98.13255788770093
824,-103.01494970194591
825,-102.692868435012
826,-102.3479831678975
827,-103.54477649780523
828,-103.64045933478965
829,-100.48074303837046
830,-99.22143772418616
831,-101.32491761978972
832,-104.12625342367099
833,-103.34245769966287
834,-100.72904772112489
835,-103.09518622206008
836,-102.25399743232501
837,-100.84800583737734
838,-103.0240321280609
839,-100.88670197572202
840,-101.18991814211958
841,-100.40523581160014
842,-102.21273681746669
843,-101.7040429878644
844,-102.56818513370109
845,-97.68153006057952
846,-101.50328723633021
847,-98.65628505439106
848,-101.00199199401067
849,-99.42418784416381
850,-102.1552008182374
851,-104.5448113580513
852,-103.89316450591292
853,-101.9034016507668
854,-101.20306077288242
855,-96.68571619776716
856,-102.6288258374351
857,-101.0904438114519
858,-101.43276980931938
859,-102.5187648630017
860,-100.28454474968603
861,-102.22805106791864
862,-101.7105565851956
863,-101.36284732476994
864,-103.76396646963568
865,-103.08196513721913
866,-100.09280863746093
867,-104.43909447450119
868,-96.60497383280719
869,-100.65809181060635
870,-99.92390384536694
871,-101.18892886936302
872,-100.01345023163543
873,-100.87373224580202
874,-101.47809288005163
875,-101.82057191378814
876,-100.81109349520858
877,-99.18976841136819
878,-102.1320052408224
879,-102.5734512871791
880,-102.68538108337307
881,-98.4332601067581
882,-99.63711654932143
883,-102.74762190796156
884,-99.6034853423273
885,-99.17008845059925
886,-101.71964430473335
887,-101.30512349595378
888,-102.77355509968788
889,-98.71678115957157
890,-100.55045189542881
891,-100.89562700240111
892,-101.10710286378276
893,-97.4886999571407
894,-102.18012356662348
895,-97.83187457539363
896,-100.97824034140609
897,-104.41847297134578
898,-100.09323503510322
899,-102.59793074108802
900,-101.74226508429712
901,-104.60206936227846
902,-101.6682803833323
903,-100.40671609939815
904,-106.79110378470597
905,-103.04219157740195
906,-99.86040534338494
907,-102.07459669015549
908,-101.00832024325749
909,-104.13199683810961
910,-100.11421898529699
911,-102.62527231844265
912,-105.12703934151088
913,-104.40719122387475
914,-104.31627582213616
915,-102.72389459326055
916,-100.99139472945495
917,-99.28361043059064
918,-100.19491624271686
919,-104.24517934588815
920,-102.95480492635852
921,-99.62185240424563
922,-105.4748000842192
923,-101.98969660094693
924,-100.19454400077075
925,-101.84941347099993
926,-101.47201065698962
927,-100.47905098709961
928,-102.57125509983155
929,-102.06479213196323
930,-100.83485363865321
931,-103.5168480135572
932,-102.12386265179285
933,-101.17916576940345
934,-100.09031142881159
935,-101.94137675305637
936,-100.06057946436636
937,-104.48538432693627
938,-101.92037300019308
939,-104.45186875113382
940,-101.07934338923226
941,-101.75956040031855
942,-102.04286057819701
943,-104.29376696808009
944,-99.83642321222311
945,-101.46934230572836
946,-99.40174005296478
947,-104.47069464476681
948,-103.61059454589542
949,-101.47861232905927
950,-102.7505558336106
951,-102.14355028153471
952,-102.4684258385061
953,-103.87570727446686
954,-106.02772837218762
955,-99.35953579502802
956,-102.25975829035315
957,-104.34576731745295
958,-101.45926637670951
959,-100.72477489394922
960,-99.8735739248774
961,-102.5335341138155
962,-100.46084946035356
963,-101.37154883988023
964,-101.4818896991863
965,-102.5297685048468
966,-105.0807028108502
967,-106.14769106064327
968,-100.96958117246882
969,-100.78114155462188
970,-103.02189385642521
971,-102.85769698235046
972,-100.81950360328713
973,-104.91231398234973
974,-103.50757229734631
975,-100.38021378657177
976,-101.92791893198597
977,-99.49319592213476
978,-102.05948681097209
979,-102.26690904401497
980,-100.26246189826523
981,-99.27935465282246
982,-100.25364498039531
983,-101.88741574942131
984,-99.00720088023853
985,-100.21065519004583
986,-100.35008502370883
987,-101.61388616001568
988,-102.11180109965503
989,-101.31874511969025
990,-102.63271351987242
991,-104.69841414859701
992,-100.5968527603251
993,-106.24238344589304
994,-101.14999470444405
995,-102.40471035998726
996,-101.2764312979551
997,-102.80981614685919
998,-103.88385780291918
999,-103.45175239646053
1000,-102.5170998599647
1001,-102.24890621445232
1002,-100.05048828551631
1003,-103.58901100759343
1004,-105.88043567567664
1005,-102.57438622027217
1006,-102.32360965589177
1007,-100.01825724192756
1008,-100.84899278279798
1009,-101.28434580438406
1010,-100.33390045235353
1011,-106.26874502536629
1012,-104.58051218446533
1013,-101.34105356526865
1014,-99.99065211092656
1015,-101.45472682044235
1016,-100.13938265634809
1017,-102.12111785044732
1018,-100.24146413119277
1019,-98.8883682067485
1020,-102.48075366601711
1021,-101.38449934072693
1022,-102.82578330343856
1023,-102.04813617108815
1024,-102.54529084761842
1025,-101.07219003353131
1026,-102.32734705175321
1027,-101.91876057621135
1028,-102.38473480347685
1029,-97.4671561988734
1030,-105.28830205201552
1031,-100.61001608260597
1032,-99.30668391015044
1033,-100.94763326570003
1034,-102.87519038248087
1035,-104.70806379961218
1036,-103.81257518527337
1037,-101.11440981858746
1038,-103.72227646874288
1039,-98.98172838593693
1040,-99.49915483215258
1041,-100.29728192010788
1042,-103.41918941352961
1043,-103.0438516129156
1044,-99.87319332319541
1045,-102.9559842989637
1046,-103.25911483150023
1047,-100.3281413323561
1048,-102.76002704817182
1049,-101.50265030599459
1050,-99.26392982859161
1051,-102.02473065301055
1052,-101.90947236406134
1053,-104.1319770799391
1054,-102.22364790596669
1055,-103.78267996597219
1056,-101.72696512400253
1057,-102.99609592373955
1058,-105.41429079935546
1059,-98.19191430430656
1060,-101.71787077368876
1061,-101.61741599635496
1062,-103.37067367657116
1063,-98.09276092173086
1064,-102.31611889870814
1065,-100.86084180921927
1066,-101.83538295536226
1067,-103.00544795224553
1068,-102.55635954496086
1069,-100.67581325496704
1070,-100.42468091590317
1071,-103.86353309479728
1072,-101.978780822923
1073,-105.72081525755826
1074,-102.72354966803752
1075,-100.55266526881883
1076,-100.17674441969615
1077,-101.10193995780776
1078,-103.2705162820611
1079,-101.75957652517496
1080,-102.25994023339612
1081,-102.38897017302767
1082,-100.21444389445162
1083,-101.19796045330355
1084,-100.94592584198779
1085,-104.75944946912398
1086,-97.45581699212856
1087,-105.09874175559423
1088,-99.95817073595225
1089,-102.14864413016642
1090,-100.77006438139762
1091,-100.99863474967336
1092,-103.26440996146394
1093,-102.86532452635046
1094,-103.28079008731038
1095,-100.31579405963566
1096,-100.4074385396855
1097,-103.23497981972048
1098,-99.78534899151185
1099,-104.38896491315364
1100,-104.58640980652646
1101,-101.96770936948795
1102,-102.93007375079881
1103,-101.15413595096672
1104,-102.59010007726351
1105,-98.32422097324142
1106,-100.51305012233851
1107,-101.72907163550718
1108,-101.89859460624322
1109,-105.98882558917714
1110,-107.60020518192755
1111,-99.80186950131323
1112,-100.84613128258465
1113,-99.38027012698711
1114,-101.18914946560525
1115,-104.96294852798388
1116,-102.268654191449
1117,-98.70913181795602
1118,-102.03945520056237
1119,-104.71323613378189
1120,-105.49693299916626
1121,-104.44175292975947
1122,-103.24415094094294
1123,-100.70708837940836
1124,-104.31695267137792
1125,-100.96018564652766
1126,-104.09250857844592
1127,-98.73967846883573
1128,-99.01500225522386
1129,-103.51942267771659
1130,-99.6456349675735
1131,-101.66131437179925
1132,-101.19789182528004
1133,-100.85579679559319
1134,-101.29188352671457
1135,-101.87748741558073
1136,-103.75389597376144
1137,-102.4945071143083
1138,-104.3908338880122
1139,-103.75597644923712
1140,-99.99853391024703
1141,-101.58401694013713
1142,-102.09691751335444
1143,-100.73127976048951
1144,-102.25222614010391
1145,-105.53990573752023
1146,-100.54988959550096
1147,-103.39887313362408
1148,-106.69529023946978
1149,-100.72149268873005
1150,-103.9070103750256
1151,-100.2096893936693
1152,-104.56443746783438
1153,-100.9975642256191
1154,-100.85636289161727
1155,-104.36181678828652
1156,-100.92800183765377
1157,-100.53057765012647
1158,-101.02450421823909
1159,-102.77417997836045
1160,-98.21005623573829
1161,-100.05943450429655
1162,-99.68744039556066
1163,-102.05194814403151
1164,-98.92842326147446
1165,-104.5473389522623
1166,-101.79701554772939
1167,-102.48498050046689
1168,-100.39375188807759
1169,-102.890573975982
1170,-98.29073037006586
1171,-99.32990115027823
1172,-104.45064806953053
1173,-100.48645569259122
1174,-101.89908294867323
1175,-102.0509681695545
1176,-100.29052916148973
1177,-102.36180741586048
1178,-100.76281869583792
1179,-102.68426557313745
1180,-100.7397607722018
1181,-101.62986100343468
1182,-101.9474065718866
1183,-98.12659758879008
1184,-99.6650338892074
1185,-99.4494907950064
1186,-101.71350094586109
1187,-102.11788173465274
1188,-105.62200330858511
1189,-101.20687413931438
1190,-100.24500857562899
1191,-105.34456214795853
1192,-102.10894595032462
1193,-105.23619062975953
1194,-101.24066413781065
1195,-99.27785012388725
1196,-101.73047148060681
1197,-105.69665508392455
1198,-99.23893387383319
1199,-101.83187130227597
1200,-103.84882789873933
1201,-100.46063209446186
1202,-103.44734668654675
1203,-99.14203263969975
1204,-101.05260630003403
1205,-100.18632291683099
1206,-105.54392305933376
1207,-102.44469747783646
1208,-100.86136816462277
1209,-104.57044738278358
1210,-102.19408834999618
1211,-101.26231677793177
1212,-102.95916335392349
1213,-102.78199516797739
1214,-105.2268525335329
1215,-99.09075703708686
1216,-104.08903517221782
1217,-102.66481052101824
1218,-100.05731733584759
1219,-101.5121897513796
1220,-99.02249296105266
1221,-104.02895421306343
1222,-99.57897344594915
1223,-100.51303346535835
1224,-102.95895061084343
1225,-103.25424244372905
1226,-100.49896188518431
1227,-100.07071504087105
1228,-98.32905983934124
1229,-99.34710647052597
1230,-104.13612683399825
1231,-100.24689243727923
1232,-101.49301340151462
1233,-103.30885717261364
1234,-105.86338522045406
1235,-104.04657270622803
1236,-104.57426041369897
1237,-103.72097348757424
1238,-101.22643341711145
1239,-102.59206399213741
1240,-102.95147979003858
1241,-101.53686200682606
1242,-102.42796584516128
1243,-105.44176153591056
1244,-101.1140310524681
1245,-104.54579085820379
1246,-106.0746628937761
1247,-102.34971529629746
1248,-104.47911539796917
1249,-103.15319528530304
